milliseconds,null,Input,null,null,null,(null = no Control)
239695,1000.00,553.00,-57956406.00,447.00,-57956406.00,447.00
239701,1000.00,551.00,-57957743.00,449.00,-57957743.00,449.00
239706,1000.00,549.00,-57959086.00,451.00,-57959086.00,451.00
239712,1000.00,548.00,-57960437.00,452.00,-57960437.00,452.00
239717,1000.00,552.00,-57961801.00,448.00,-57961801.00,448.00
239722,1000.00,551.00,-57963143.00,449.00,-57963143.00,449.00
239728,1000.00,552.00,-57964492.00,448.00,-57964492.00,448.00
239733,1000.00,548.00,-57965828.00,452.00,-57965828.00,452.00
239739,1000.00,547.00,-57967182.00,453.00,-57967182.00,453.00
239744,1000.00,551.00,-57968549.00,449.00,-57968549.00,449.00
239749,1000.00,547.00,-57969888.00,453.00,-57969888.00,453.00
239755,1000.00,549.00,-57971251.00,451.00,-57971251.00,451.00
239760,1000.00,549.00,-57972604.00,451.00,-57972604.00,451.00
239766,1000.00,548.00,-57973955.00,452.00,-57973955.00,452.00
239771,1000.00,549.00,-57975313.00,451.00,-57975313.00,451.00
239776,1000.00,551.00,-57976670.00,449.00,-57976670.00,449.00
239782,1000.00,550.00,-57978015.00,450.00,-57978015.00,450.00
239787,1000.00,552.00,-57979369.00,448.00,-57979369.00,448.00
239793,1000.00,550.00,-57980709.00,450.00,-57980709.00,450.00
239798,1000.00,551.00,-57982061.00,449.00,-57982061.00,449.00
239803,1000.00,550.00,-57983406.00,450.00,-57983406.00,450.00
239809,1000.00,555.00,-57984766.00,445.00,-57984766.00,445.00
239814,1000.00,558.00,-57986107.00,442.00,-57986107.00,442.00
239820,1000.00,559.00,-57987435.00,441.00,-57987435.00,441.00
239825,1000.00,562.00,-57988764.00,438.00,-57988764.00,438.00
239830,1000.00,567.00,-57990088.00,433.00,-57990088.00,433.00
239836,1000.00,566.00,-57991385.00,434.00,-57991385.00,434.00
239841,1000.00,567.00,-57992689.00,433.00,-57992689.00,433.00
239847,1000.00,563.00,-57993980.00,437.00,-57993980.00,437.00
239852,1000.00,568.00,-57995301.00,432.00,-57995301.00,432.00
239857,1000.00,567.00,-57996595.00,433.00,-57996595.00,433.00
239863,1000.00,568.00,-57997896.00,432.00,-57997896.00,432.00
239868,1000.00,565.00,-57999186.00,435.00,-57999186.00,435.00
239874,1000.00,566.00,-58000493.00,434.00,-58000493.00,434.00
239879,1000.00,566.00,-58001795.00,434.00,-58001795.00,434.00
239884,1000.00,567.00,-58003099.00,433.00,-58003099.00,433.00
239890,1000.00,565.00,-58004394.00,435.00,-58004394.00,435.00
239895,1000.00,568.00,-58005705.00,432.00,-58005705.00,432.00
239901,1000.00,565.00,-58006995.00,435.00,-58006995.00,435.00
239906,1000.00,565.00,-58008300.00,435.00,-58008300.00,435.00
239911,1000.00,566.00,-58009607.00,434.00,-58009607.00,434.00
239917,1000.00,566.00,-58010909.00,434.00,-58010909.00,434.00
239922,1000.00,566.00,-58012211.00,434.00,-58012211.00,434.00
239928,1000.00,565.00,-58013511.00,435.00,-58013511.00,435.00
239933,1000.00,567.00,-58014820.00,433.00,-58014820.00,433.00
239938,1000.00,566.00,-58016117.00,434.00,-58016117.00,434.00
239944,1000.00,567.00,-58017421.00,433.00,-58017421.00,433.00
239949,1000.00,567.00,-58018720.00,433.00,-58018720.00,433.00
239955,1000.00,565.00,-58020015.00,435.00,-58020015.00,435.00
239960,1000.00,566.00,-58021322.00,434.00,-58021322.00,434.00
239965,1000.00,570.00,-58022632.00,430.00,-58022632.00,430.00
239971,1000.00,568.00,-58023918.00,432.00,-58023918.00,432.00
239976,1000.00,567.00,-58025212.00,433.00,-58025212.00,433.00
239982,1000.00,566.00,-58026509.00,434.00,-58026509.00,434.00
239987,1000.00,568.00,-58027815.00,432.00,-58027815.00,432.00
239992,1000.00,570.00,-58029115.00,430.00,-58029115.00,430.00
239998,1000.00,567.00,-58030399.00,433.00,-58030399.00,433.00
240003,1000.00,567.00,-58031698.00,433.00,-58031698.00,433.00
240009,1000.00,566.00,-58032995.00,434.00,-58032995.00,434.00
240014,1000.00,566.00,-58034297.00,434.00,-58034297.00,434.00
240019,1000.00,565.00,-58035597.00,435.00,-58035597.00,435.00
240025,1000.00,567.00,-58036906.00,433.00,-58036906.00,433.00
240030,1000.00,566.00,-58038203.00,434.00,-58038203.00,434.00
240036,1000.00,564.00,-58039501.00,436.00,-58039501.00,436.00
240041,1000.00,567.00,-58040815.00,433.00,-58040815.00,433.00
240046,1000.00,568.00,-58042116.00,432.00,-58042116.00,432.00
240052,1000.00,569.00,-58043414.00,431.00,-58043414.00,431.00
240057,1000.00,568.00,-58044705.00,432.00,-58044705.00,432.00
240063,1000.00,564.00,-58045993.00,436.00,-58045993.00,436.00
240068,1000.00,567.00,-58047307.00,433.00,-58047307.00,433.00
240073,1000.00,565.00,-58048602.00,435.00,-58048602.00,435.00
240079,1000.00,568.00,-58049913.00,432.00,-58049913.00,432.00
240084,1000.00,564.00,-58051201.00,436.00,-58051201.00,436.00
240090,1000.00,566.00,-58052513.00,434.00,-58052513.00,434.00
240095,1000.00,567.00,-58053817.00,433.00,-58053817.00,433.00
240100,1000.00,565.00,-58055112.00,435.00,-58055112.00,435.00
240106,1000.00,571.00,-58056429.00,429.00,-58056429.00,429.00
240111,1000.00,568.00,-58057710.00,432.00,-58057710.00,432.00
240117,1000.00,565.00,-58059000.00,435.00,-58059000.00,435.00
240122,1000.00,567.00,-58060309.00,433.00,-58060309.00,433.00
240127,1000.00,566.00,-58061606.00,434.00,-58061606.00,434.00
240133,1000.00,568.00,-58062912.00,432.00,-58062912.00,432.00
240138,1000.00,566.00,-58064204.00,434.00,-58064204.00,434.00
240144,1000.00,563.00,-58065500.00,437.00,-58065500.00,437.00
240149,1000.00,568.00,-58066821.00,432.00,-58066821.00,432.00
240154,1000.00,567.00,-58068115.00,433.00,-58068115.00,433.00
240160,1000.00,569.00,-58069418.00,431.00,-58069418.00,431.00
240165,1000.00,567.00,-58070707.00,433.00,-58070707.00,433.00
240171,1000.00,566.00,-58072004.00,434.00,-58072004.00,434.00
240176,1000.00,565.00,-58073304.00,435.00,-58073304.00,435.00
240181,1000.00,567.00,-58074613.00,433.00,-58074613.00,433.00
240187,1000.00,569.00,-58075916.00,431.00,-58075916.00,431.00
240192,1000.00,568.00,-58077207.00,432.00,-58077207.00,432.00
240198,1000.00,565.00,-58078497.00,435.00,-58078497.00,435.00
240203,1000.00,569.00,-58079810.00,431.00,-58079810.00,431.00
240208,1000.00,568.00,-58081101.00,432.00,-58081101.00,432.00
240214,1000.00,569.00,-58082399.00,431.00,-58082399.00,431.00
240219,1000.00,566.00,-58083686.00,434.00,-58083686.00,434.00
240225,1000.00,566.00,-58084988.00,434.00,-58084988.00,434.00
240230,1000.00,564.00,-58086286.00,436.00,-58086286.00,436.00
240235,1000.00,569.00,-58087604.00,431.00,-58087604.00,431.00
240241,1000.00,569.00,-58088897.00,431.00,-58088897.00,431.00
240246,1000.00,569.00,-58090190.00,431.00,-58090190.00,431.00
240252,1000.00,564.00,-58091473.00,436.00,-58091473.00,436.00
240257,1000.00,569.00,-58092791.00,431.00,-58092791.00,431.00
240262,1000.00,569.00,-58094084.00,431.00,-58094084.00,431.00
240268,1000.00,568.00,-58095375.00,432.00,-58095375.00,432.00
240273,1000.00,567.00,-58096669.00,433.00,-58096669.00,433.00
240279,1000.00,565.00,-58097964.00,435.00,-58097964.00,435.00
240284,1000.00,567.00,-58099273.00,433.00,-58099273.00,433.00
240289,1000.00,568.00,-58100574.00,432.00,-58100574.00,432.00
240295,1000.00,569.00,-58101872.00,431.00,-58101872.00,431.00
240300,1000.00,568.00,-58103163.00,432.00,-58103163.00,432.00
240306,1000.00,565.00,-58104453.00,435.00,-58104453.00,435.00
240311,1000.00,565.00,-58105758.00,435.00,-58105758.00,435.00
240316,1000.00,568.00,-58107069.00,432.00,-58107069.00,432.00
240322,1000.00,567.00,-58108363.00,433.00,-58108363.00,433.00
240327,1000.00,567.00,-58109662.00,433.00,-58109662.00,433.00
240333,1000.00,564.00,-58110955.00,436.00,-58110955.00,436.00
240338,1000.00,567.00,-58112269.00,433.00,-58112269.00,433.00
240343,1000.00,567.00,-58113568.00,433.00,-58113568.00,433.00
240349,1000.00,565.00,-58114863.00,435.00,-58114863.00,435.00
240354,1000.00,566.00,-58116170.00,434.00,-58116170.00,434.00
240360,1000.00,564.00,-58117468.00,436.00,-58117468.00,436.00
240365,1000.00,569.00,-58118786.00,431.00,-58118786.00,431.00
240370,1000.00,566.00,-58120073.00,434.00,-58120073.00,434.00
240376,1000.00,565.00,-58121373.00,435.00,-58121373.00,435.00
240381,1000.00,569.00,-58122686.00,431.00,-58122686.00,431.00
240387,1000.00,565.00,-58123971.00,435.00,-58123971.00,435.00
240392,1000.00,566.00,-58125278.00,434.00,-58125278.00,434.00
240397,1000.00,565.00,-58126578.00,435.00,-58126578.00,435.00
240403,1000.00,572.00,-58127897.00,428.00,-58127897.00,428.00
240408,1000.00,570.00,-58129177.00,430.00,-58129177.00,430.00
240414,1000.00,566.00,-58130459.00,434.00,-58130459.00,434.00
240419,1000.00,567.00,-58131763.00,433.00,-58131763.00,433.00
240424,1000.00,570.00,-58133068.00,430.00,-58133068.00,430.00
240430,1000.00,566.00,-58134350.00,434.00,-58134350.00,434.00
240435,1000.00,570.00,-58135660.00,430.00,-58135660.00,430.00
240441,1000.00,566.00,-58136942.00,434.00,-58136942.00,434.00
240446,1000.00,566.00,-58138244.00,434.00,-58138244.00,434.00
240451,1000.00,566.00,-58139546.00,434.00,-58139546.00,434.00
240457,1000.00,567.00,-58140850.00,433.00,-58140850.00,433.00
240462,1000.00,564.00,-58142143.00,436.00,-58142143.00,436.00
240468,1000.00,565.00,-58143453.00,435.00,-58143453.00,435.00
240473,1000.00,567.00,-58144762.00,433.00,-58144762.00,433.00
240478,1000.00,569.00,-58146065.00,431.00,-58146065.00,431.00
240484,1000.00,568.00,-58147356.00,432.00,-58147356.00,432.00
240489,1000.00,567.00,-58148650.00,433.00,-58148650.00,433.00
240495,1000.00,567.00,-58149949.00,433.00,-58149949.00,433.00
240500,1000.00,567.00,-58151248.00,433.00,-58151248.00,433.00
240505,1000.00,568.00,-58152549.00,432.00,-58152549.00,432.00
240511,1000.00,568.00,-58153845.00,432.00,-58153845.00,432.00
240516,1000.00,567.00,-58155139.00,433.00,-58155139.00,433.00
240522,1000.00,563.00,-58156430.00,437.00,-58156430.00,437.00
240527,1000.00,566.00,-58157747.00,434.00,-58157747.00,434.00
240532,1000.00,565.00,-58159047.00,435.00,-58159047.00,435.00
240538,1000.00,568.00,-58160358.00,432.00,-58160358.00,432.00
240543,1000.00,567.00,-58161652.00,433.00,-58161652.00,433.00
240549,1000.00,565.00,-58162947.00,435.00,-58162947.00,435.00
240554,1000.00,570.00,-58164262.00,430.00,-58164262.00,430.00
240559,1000.00,566.00,-58165544.00,434.00,-58165544.00,434.00
240565,1000.00,567.00,-58166848.00,433.00,-58166848.00,433.00
240570,1000.00,564.00,-58168141.00,436.00,-58168141.00,436.00
240576,1000.00,562.00,-58169445.00,438.00,-58169445.00,438.00
240581,1000.00,568.00,-58170771.00,432.00,-58170771.00,432.00
240586,1000.00,566.00,-58172063.00,434.00,-58172063.00,434.00
240592,1000.00,566.00,-58173365.00,434.00,-58173365.00,434.00
240597,1000.00,566.00,-58174667.00,434.00,-58174667.00,434.00
240603,1000.00,565.00,-58175967.00,435.00,-58175967.00,435.00
240608,1000.00,567.00,-58177276.00,433.00,-58177276.00,433.00
240613,1000.00,565.00,-58178571.00,435.00,-58178571.00,435.00
240619,1000.00,567.00,-58179880.00,433.00,-58179880.00,433.00
240624,1000.00,568.00,-58181181.00,432.00,-58181181.00,432.00
240630,1000.00,564.00,-58182469.00,436.00,-58182469.00,436.00
240635,1000.00,566.00,-58183781.00,434.00,-58183781.00,434.00
240640,1000.00,562.00,-58185075.00,438.00,-58185075.00,438.00
240646,1000.00,556.00,-58186377.00,444.00,-58186377.00,444.00
240651,1000.00,555.00,-58187707.00,445.00,-58187707.00,445.00
240657,1000.00,548.00,-58189028.00,452.00,-58189028.00,452.00
240662,1000.00,551.00,-58190390.00,449.00,-58190390.00,449.00
