Setpoint,Input,Output,CurrentError,previousSignal,previousError
4000.00,1840.00,3863.00,2160.00,-892602.00,2160.00
4000.00,1842.00,3862.00,2158.00,-899086.00,2158.00
4000.00,1842.00,3861.00,2158.00,-905560.00,2158.00
4000.00,1842.00,3860.00,2158.00,-912034.00,2158.00
4000.00,1842.00,3859.00,2158.00,-918508.00,2158.00
4000.00,1843.00,3858.00,2157.00,-924984.00,2157.00
4000.00,1844.00,3857.00,2156.00,-931457.00,2156.00
4000.00,1843.00,3856.00,2157.00,-937923.00,2157.00
4000.00,1844.00,3855.00,2156.00,-944396.00,2156.00
4000.00,1842.00,3854.00,2158.00,-950860.00,2158.00
4000.00,1882.00,3853.00,2118.00,-957414.00,2118.00
4000.00,1841.00,3852.00,2159.00,-963686.00,2159.00
4000.00,1838.00,3851.00,2162.00,-970157.00,2162.00
4000.00,1836.00,3850.00,2164.00,-976639.00,2164.00
4000.00,1836.00,3849.00,2164.00,-983131.00,2164.00
4000.00,1830.00,3848.00,2170.00,-989611.00,2170.00
4000.00,1825.00,3847.00,2175.00,-996111.00,2175.00
4000.00,1850.00,3846.00,2150.00,-1002686.00,2150.00
4000.00,1845.00,3845.00,2155.00,-1009126.00,2155.00
4000.00,1844.00,3844.00,2156.00,-1015589.00,2156.00
4000.00,1843.00,3843.00,2157.00,-1022055.00,2157.00
4000.00,1837.00,3842.00,2163.00,-1028514.00,2163.00
4000.00,1838.00,3841.00,2162.00,-1035005.00,2162.00
4000.00,1829.00,3840.00,2171.00,-1041473.00,2171.00
4000.00,1828.00,3839.00,2172.00,-1047984.00,2172.00
4000.00,1823.00,3838.00,2177.00,-1054490.00,2177.00
4000.00,1822.00,3837.00,2178.00,-1061019.00,2178.00
4000.00,1821.00,3836.00,2179.00,-1067551.00,2179.00
4000.00,1818.00,3835.00,2182.00,-1074082.00,2182.00
4000.00,1818.00,3834.00,2182.00,-1080628.00,2182.00
4000.00,1856.00,3833.00,2144.00,-1087250.00,2144.00
4000.00,1815.00,3832.00,2185.00,-1093600.00,2185.00
4000.00,1811.00,3831.00,2189.00,-1100147.00,2189.00
4000.00,1848.00,3830.00,2152.00,-1106788.00,2152.00
4000.00,1847.00,3829.00,2153.00,-1113242.00,2153.00
4000.00,1809.00,3828.00,2191.00,-1119625.00,2191.00
4000.00,1809.00,3827.00,2191.00,-1126198.00,2191.00
4000.00,1805.00,3826.00,2195.00,-1132763.00,2195.00
4000.00,1846.00,3825.00,2154.00,-1139430.00,2154.00
4000.00,1840.00,3824.00,2160.00,-1145880.00,2160.00
